trade_id,trade_date,commodity,buy_sell,volume_barrels,trade_price_usd,contract_month
T0060,2023-12-06,Brent,Sell,80262,79.82,2024-09
T0061,2023-10-05,Brent,Sell,77080,79.1,2024-09
T0062,2023-11-17,Brent,Sell,41324,80.03,2024-08
T0063,2023-12-07,Brent,Sell,131267,80.49,2024-05
T0064,2023-10-24,Brent,Sell,75909,79.14,2024-09
T0065,2023-12-04,Brent,Sell,129339,92.56,2024-06
T0066,2024-03-12,Brent,Sell,59870,90.14,2024-07
T0067,2023-10-09,Brent,Sell,74578,75.94,2024-04
T0068,2024-02-15,Brent,Sell,112124,80.37,2024-04
T0069,2024-03-21,Brent,Buy,157611,75.44,2024-08
T0070,2023-11-21,Brent,Sell,143605,84.96,2024-05
T0071,2023-11-02,Brent,Sell,66790,84.52,2024-05
T0072,2024-02-07,Brent,Sell,158874,91.63,2024-09
T0073,2023-12-04,Brent,Sell,65289,81.16,2024-03
T0074,2024-02-09,Brent,Sell,95129,91.33,2024-09
T0075,2024-02-15,Brent,Buy,133714,94.36,2024-07
T0076,2024-03-11,Brent,Buy,134246,76.77,2024-06
T0077,2024-01-02,Brent,Buy,55485,90.84,2024-04
T0078,2024-03-27,Brent,Buy,84482,86.8,2024-09
T0079,2023-10-25,Brent,Buy,126188,84.6,2024-03
T0080,2023-11-03,Brent,Sell,44748,83.41,2024-03
T0081,2023-12-14,Brent,Buy,126769,90.69,2024-09
T0082,2023-12-20,Brent,Sell,49435,87.79,2024-08
T0083,2024-01-02,Brent,Buy,43709,91.1,2024-04
T0084,2024-02-22,Brent,Sell,70355,93.06,2024-08
T0085,2023-11-02,Brent,Buy,95771,87.35,2024-06
T0086,2024-03-07,Brent,Buy,97799,94.61,2024-03
T0087,2023-11-14,Brent,Buy,53116,87.16,2024-03
T0088,2024-01-29,Brent,Sell,65470,87.73,2024-07
T0089,2024-03-26,Brent,Buy,82344,86.1,2024-06
T0090,2024-03-29,Brent,Sell,82918,76.82,2024-03
T0091,2023-10-24,Brent,Buy,92224,89.53,2024-06
T0092,2024-02-22,Brent,Buy,79298,85.95,2024-04
T0093,2023-11-29,Brent,Sell,148492,84.02,2024-05
T0094,2023-11-23,Brent,Buy,120219,93.21,2024-03
T0095,2023-11-06,Brent,Buy,101629,80.96,2024-07
T0096,2024-02-15,Brent,Sell,106040,85.47,2024-04
T0097,2023-12-08,Brent,Sell,139518,88.95,2024-09
T0098,2023-10-18,Brent,Sell,139835,90.93,2024-06
T0099,2023-12-22,Brent,Buy,68016,84.19,2024-09
T0100,2023-12-19,Brent,Buy,63960,91.84,2024-08
T0101,2023-11-20,Brent,Sell,73591,90.38,2024-04
T0102,2023-10-27,Brent,Sell,122848,76.32,2024-09
T0103,2023-12-29,Brent,Sell,143333,75.92,2024-03
T0104,2023-10-11,Brent,Buy,151732,87.42,2024-06
T0105,2024-03-08,Brent,Sell,154821,81.95,2024-05
T0106,2024-02-06,Brent,Sell,107641,79.18,2024-04
T0107,2024-02-14,Brent,Buy,76395,86.59,2024-03
T0108,2024-01-01,Brent,Buy,151276,81.83,2024-07
T0109,2023-11-14,Brent,Buy,62700,85.75,2024-08
T0110,2024-01-29,Brent,Buy,74620,84.2,2024-06
T0111,2023-12-11,Brent,Buy,143214,86.7,2024-04
T0112,2023-12-27,Brent,Buy,60559,83.01,2024-04
T0113,2024-03-22,Brent,Buy,133045,88.95,2024-05
T0114,2023-12-20,Brent,Buy,133396,78.6,2024-05
T0115,2023-12-20,Brent,Sell,101642,88.93,2024-07
T0116,2024-01-29,Brent,Sell,116539,83.23,2024-08
T0117,2023-12-07,Brent,Buy,61732,92.49,2024-07
T0118,2024-01-05,Brent,Sell,131362,85.3,2024-03
T0119,2023-10-20,Brent,Sell,70354,94.46,2024-03
T0120,2023-12-14,Brent,Buy,53843,87.04,2024-07
